county	date	fatalities
Anderson	Cases 03-05-2020	0
Andrews	Cases 03-05-2020	0
Angelina	Cases 03-05-2020	0
Aransas	Cases 03-05-2020	0
Archer	Cases 03-05-2020	0
Armstrong	Cases 03-05-2020	0
Atascosa	Cases 03-05-2020	0
Austin	Cases 03-05-2020	0
Bailey	Cases 03-05-2020	0
Bandera	Cases 03-05-2020	0
Bastrop	Cases 03-05-2020	0
Baylor	Cases 03-05-2020	0
Bee	Cases 03-05-2020	0
Bell	Cases 03-05-2020	0
Bexar	Cases 03-05-2020	0
Blanco	Cases 03-05-2020	0
Borden	Cases 03-05-2020	0
Bosque	Cases 03-05-2020	0
Bowie	Cases 03-05-2020	0
Brazoria	Cases 03-05-2020	0
Brazos	Cases 03-05-2020	0
Brewster	Cases 03-05-2020	0
Briscoe	Cases 03-05-2020	0
Brooks	Cases 03-05-2020	0
Brown	Cases 03-05-2020	0
Burleson	Cases 03-05-2020	0
Burnet	Cases 03-05-2020	0
Caldwell	Cases 03-05-2020	0
Calhoun	Cases 03-05-2020	0
Callahan	Cases 03-05-2020	0
Cameron	Cases 03-05-2020	0
Camp	Cases 03-05-2020	0
Carson	Cases 03-05-2020	0
Cass	Cases 03-05-2020	0
Castro	Cases 03-05-2020	0
Chambers	Cases 03-05-2020	0
Cherokee	Cases 03-05-2020	0
Childress	Cases 03-05-2020	0
Clay	Cases 03-05-2020	0
Cochran	Cases 03-05-2020	0
Coke	Cases 03-05-2020	0
Coleman	Cases 03-05-2020	0
Collin	Cases 03-05-2020	0
Collingsworth	Cases 03-05-2020	0
Colorado	Cases 03-05-2020	0
Comal	Cases 03-05-2020	0
Comanche	Cases 03-05-2020	0
Concho	Cases 03-05-2020	0
Cooke	Cases 03-05-2020	0
Coryell	Cases 03-05-2020	0
Cottle	Cases 03-05-2020	0
Crane	Cases 03-05-2020	0
Crockett	Cases 03-05-2020	0
Crosby	Cases 03-05-2020	0
Culberson	Cases 03-05-2020	0
Dallam	Cases 03-05-2020	0
Dallas	Cases 03-05-2020	0
Dawson	Cases 03-05-2020	0
Deaf Smith	Cases 03-05-2020	0
Delta	Cases 03-05-2020	0
Denton	Cases 03-05-2020	0
DeWitt	Cases 03-05-2020	0
Dickens	Cases 03-05-2020	0
Dimmit	Cases 03-05-2020	0
Donley	Cases 03-05-2020	0
Duval	Cases 03-05-2020	0
Eastland	Cases 03-05-2020	0
Ector	Cases 03-05-2020	0
Edwards	Cases 03-05-2020	0
Ellis	Cases 03-05-2020	0
El Paso	Cases 03-05-2020	0
Erath	Cases 03-05-2020	0
Falls	Cases 03-05-2020	0
Fannin	Cases 03-05-2020	0
Fayette	Cases 03-05-2020	0
Fisher	Cases 03-05-2020	0
Floyd	Cases 03-05-2020	0
Foard	Cases 03-05-2020	0
Fort Bend	Cases 03-05-2020	0
Franklin	Cases 03-05-2020	0
Freestone	Cases 03-05-2020	0
Frio	Cases 03-05-2020	0
Gaines	Cases 03-05-2020	0
