county,date,ML,Low_90,High_90,Low_50,High_50
Anderson,2020-07-07,4.92,3.47,6.23,4.23,5.37
Anderson,2020-07-08,4.45,3.5500000000000003,5.2700000000000005,4.0200000000000005,4.73
Anderson,2020-07-09,3.94,3.25,4.5200000000000005,3.64,4.16
Angelina,2020-07-09,1.54,0.0,3.24,0.6900000000000001,2.21
Atascosa,2020-07-08,2.84,0.02,5.15,1.5,3.84
Atascosa,2020-07-09,2.86,0.72,4.73,1.93,3.62
Bastrop,2020-07-07,2.71,0.72,4.38,1.87,3.4
Bastrop,2020-07-08,2.52,1.1400000000000001,3.69,1.9000000000000001,2.95
Bastrop,2020-07-09,2.2600000000000002,1.18,3.19,1.75,2.58
Bee,2020-07-07,2.17,0.0,4.55,0.96,3.11
Bee,2020-07-08,2.32,0.32,4.12,1.3900000000000001,3.0500000000000003
Bee,2020-07-09,2.13,0.44,3.6,1.41,2.75
Bell,2020-06-11,2.04,0.05,3.66,1.1400000000000001,2.75
Bell,2020-06-12,1.5,0.07,2.69,0.8200000000000001,1.98
Bell,2020-06-13,1.17,0.01,2.13,0.59,1.54
Bell,2020-06-14,0.87,0.01,1.75,0.36,1.17
Bell,2020-06-15,0.84,0.01,1.6400000000000001,0.39,1.1400000000000001
Bell,2020-06-16,0.9500000000000001,0.07,1.72,0.51,1.24
Bell,2020-06-17,1.2,0.3,1.97,0.77,1.47
Bell,2020-06-18,1.27,0.43,2.0,0.88,1.53
Bell,2020-06-19,1.26,0.48,1.95,0.89,1.5
Bell,2020-06-20,1.18,0.44,1.83,0.81,1.3900000000000001
Bell,2020-06-21,1.11,0.4,1.73,0.78,1.33
Bell,2020-06-22,1.16,0.47000000000000003,1.75,0.8300000000000001,1.36
Bell,2020-06-23,1.3,0.64,1.86,1.01,1.51
Bell,2020-06-24,1.43,0.81,1.96,1.18,1.6500000000000001
Bell,2020-06-25,1.44,0.86,1.95,1.17,1.62
Bell,2020-06-26,1.35,0.81,1.85,1.09,1.52
Bell,2020-06-27,1.21,0.67,1.68,0.9400000000000001,1.36
Bell,2020-06-28,1.17,0.66,1.6400000000000001,0.9,1.31
Bell,2020-06-29,1.2,0.6900000000000001,1.6500000000000001,0.9400000000000001,1.34
Bell,2020-06-30,1.32,0.8300000000000001,1.76,1.12,1.5
Bell,2020-07-01,1.41,0.92,1.82,1.19,1.56
Bell,2020-07-02,1.4000000000000001,0.92,1.79,1.17,1.53
Bell,2020-07-03,1.29,0.84,1.68,1.06,1.41
Bell,2020-07-04,1.17,0.71,1.54,0.96,1.3
Bell,2020-07-05,1.1,0.66,1.48,0.88,1.22
Bell,2020-07-06,1.17,0.73,1.54,0.98,1.31
Bell,2020-07-07,1.26,0.85,1.6400000000000001,1.04,1.37
Bell,2020-07-08,1.36,0.93,1.71,1.16,1.48
Bell,2020-07-09,1.45,1.06,1.81,1.26,1.57
Bexar,2020-04-02,2.61,0.58,4.33,1.67,3.2600000000000002
Bexar,2020-04-03,2.35,0.97,3.63,1.72,2.82
Bexar,2020-04-04,2.09,0.99,3.11,1.55,2.43
Bexar,2020-04-05,1.82,0.86,2.67,1.36,2.11
Bexar,2020-04-06,1.6300000000000001,0.77,2.38,1.26,1.92
Bexar,2020-04-07,1.57,0.79,2.25,1.22,1.82
Bexar,2020-04-08,1.47,0.74,2.09,1.11,1.67
Bexar,2020-04-09,1.47,0.8200000000000001,2.07,1.1400000000000001,1.6600000000000001
Bexar,2020-04-10,1.46,0.86,2.0300000000000002,1.21,1.69
Bexar,2020-04-11,1.37,0.79,1.9000000000000001,1.09,1.55
Bexar,2020-04-12,1.27,0.6900000000000001,1.76,1.0,1.44
Bexar,2020-04-13,1.22,0.67,1.7,0.93,1.36
Bexar,2020-04-14,1.1400000000000001,0.62,1.62,0.91,1.32
Bexar,2020-04-15,1.12,0.59,1.57,0.9,1.3
Bexar,2020-04-16,1.11,0.59,1.55,0.85,1.25
Bexar,2020-04-17,1.08,0.58,1.52,0.8300000000000001,1.22
Bexar,2020-04-18,1.05,0.55,1.48,0.8300000000000001,1.21
Bexar,2020-04-19,1.03,0.53,1.45,0.79,1.17
Bexar,2020-04-20,1.0,0.5,1.41,0.8,1.17
Bexar,2020-04-21,1.02,0.53,1.43,0.8,1.17
Bexar,2020-04-22,1.04,0.56,1.45,0.8,1.17
Bexar,2020-04-23,1.06,0.59,1.47,0.86,1.22
Bexar,2020-04-24,1.05,0.6,1.47,0.8300000000000001,1.19
Bexar,2020-04-25,1.03,0.56,1.43,0.8,1.16
Bexar,2020-04-26,0.99,0.53,1.3900000000000001,0.75,1.11
Bexar,2020-04-27,0.96,0.5,1.36,0.72,1.08
Bexar,2020-04-28,0.96,0.5,1.36,0.78,1.1300000000000001
Bexar,2020-04-29,1.02,0.55,1.41,0.8200000000000001,1.17
Bexar,2020-04-30,1.12,0.66,1.51,0.91,1.26
Bexar,2020-05-01,1.21,0.75,1.59,0.97,1.32
Bexar,2020-05-02,1.26,0.8200000000000001,1.6400000000000001,1.05,1.3900000000000001
Bexar,2020-05-03,1.24,0.8200000000000001,1.62,1.05,1.3800000000000001
Bexar,2020-05-04,1.2,0.78,1.57,0.98,1.31
Bexar,2020-05-05,1.1400000000000001,0.72,1.5,0.9500000000000001,1.27
Bexar,2020-05-06,1.08,0.6900000000000001,1.46,0.88,1.2
Bexar,2020-05-07,1.07,0.66,1.43,0.87,1.19
Bexar,2020-05-08,1.06,0.64,1.41,0.85,1.17
Bexar,2020-05-09,1.03,0.6,1.37,0.81,1.1300000000000001
Bexar,2020-05-10,0.98,0.56,1.33,0.77,1.09
Bexar,2020-05-11,0.92,0.51,1.28,0.71,1.03
Bexar,2020-05-12,0.92,0.49,1.27,0.72,1.04
Bexar,2020-05-13,0.97,0.55,1.33,0.78,1.1
Bexar,2020-05-14,1.0,0.58,1.36,0.81,1.1300000000000001
Bexar,2020-05-15,1.02,0.6,1.3800000000000001,0.8300000000000001,1.1500000000000001
Bexar,2020-05-16,1.03,0.61,1.3900000000000001,0.84,1.16
Bexar,2020-05-17,1.03,0.6,1.3800000000000001,0.8300000000000001,1.1500000000000001
Bexar,2020-05-18,1.04,0.61,1.3900000000000001,0.84,1.16
Bexar,2020-05-19,1.07,0.67,1.44,0.87,1.19
Bexar,2020-05-20,1.08,0.67,1.44,0.87,1.19
Bexar,2020-05-21,1.08,0.65,1.42,0.86,1.18
Bexar,2020-05-22,1.03,0.64,1.4000000000000001,0.8200000000000001,1.1400000000000001
Bexar,2020-05-23,0.96,0.56,1.32,0.74,1.06
Bexar,2020-05-24,0.9,0.49,1.26,0.7000000000000001,1.02
Bexar,2020-05-25,0.89,0.49,1.26,0.6900000000000001,1.01
Bexar,2020-05-26,0.91,0.49,1.27,0.72,1.04
Bexar,2020-05-27,0.96,0.56,1.34,0.79,1.11
Bexar,2020-05-28,1.1,0.6900000000000001,1.47,0.92,1.24
Bexar,2020-05-29,1.18,0.75,1.53,0.98,1.3
Bexar,2020-05-30,1.22,0.8,1.57,1.01,1.33
Bexar,2020-05-31,1.2,0.81,1.56,1.01,1.32
Bexar,2020-06-01,1.1300000000000001,0.72,1.47,0.93,1.24
Bexar,2020-06-02,1.08,0.68,1.42,0.87,1.18
Bexar,2020-06-03,1.09,0.6900000000000001,1.43,0.88,1.19
Bexar,2020-06-04,1.1400000000000001,0.76,1.49,0.97,1.27
Bexar,2020-06-05,1.23,0.8300000000000001,1.56,1.04,1.34
Bexar,2020-06-06,1.25,0.89,1.6,1.05,1.35
Bexar,2020-06-07,1.26,0.9,1.6,1.09,1.3800000000000001
Bexar,2020-06-08,1.26,0.89,1.58,1.06,1.35
Bexar,2020-06-09,1.3,0.9400000000000001,1.62,1.1300000000000001,1.41
Bexar,2020-06-10,1.37,1.01,1.68,1.19,1.47
Bexar,2020-06-11,1.47,1.12,1.77,1.3,1.57
Bexar,2020-06-12,1.54,1.2,1.83,1.3800000000000001,1.6400000000000001
Bexar,2020-06-13,1.5,1.17,1.78,1.36,1.61
Bexar,2020-06-14,1.5,1.19,1.78,1.32,1.57
Bexar,2020-06-15,1.5,1.18,1.76,1.34,1.58
